[memory ][Fri Jul 23 03:18:59 2021][18813] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[memory ][Fri Jul 23 03:18:59 2021][18813] Heap size: 8388608KB, maximal heap size: 8388608KB, nursery size: 4194304KB.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>  - start time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <type>   - OC (old collection) or YC (young collection).
[memory ][Fri Jul 23 03:18:59 2021][18813] <end>    - end time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <before> - memory used by objects before collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <after>  - memory used by objects after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <heap>   - size of heap after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <time>   - total time of collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813] <pause>  - total sum of pauses during collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813]            Run with -Xverbose:gcpause to see individual phases.
[memory ][Fri Jul 23 03:18:59 2021][18813] Running on hypervisor Unknown (but probably running on a hypervisor)
[memory ][Fri Jul 23 05:15:14 2021][18813] [YC#94] 6974.833-6974.875: YC 4932635KB->2185356KB (8388608KB), 0.041 s, sum of pauses 40.826 ms, longest pause 40.826 ms.
[memory ][Fri Jul 23 05:18:00 2021][18813] [YC#95] 7140.823-7140.854: YC 4987046KB->2224141KB (8388608KB), 0.032 s, sum of pauses 31.305 ms, longest pause 31.305 ms.
[memory ][Fri Jul 23 05:19:58 2021][18813] [YC#96] 7258.592-7258.624: YC 5012867KB->2261947KB (8388608KB), 0.031 s, sum of pauses 30.879 ms, longest pause 30.879 ms.
[memory ][Fri Jul 23 05:21:17 2021][18813] [YC#97] 7337.896-7337.930: YC 5052360KB->2297252KB (8388608KB), 0.034 s, sum of pauses 34.155 ms, longest pause 34.155 ms.
[memory ][Fri Jul 23 05:22:42 2021][18813] [YC#98] 7423.035-7423.068: YC 5088789KB->2331005KB (8388608KB), 0.033 s, sum of pauses 32.303 ms, longest pause 32.303 ms.
[memory ][Fri Jul 23 05:24:00 2021][18813] [YC#99] 7500.949-7500.983: YC 5117991KB->2363476KB (8388608KB), 0.033 s, sum of pauses 32.784 ms, longest pause 32.784 ms.
[memory ][Fri Jul 23 05:25:16 2021][18813] [YC#100] 7576.624-7576.655: YC 5149124KB->2389474KB (8388608KB), 0.031 s, sum of pauses 30.197 ms, longest pause 30.197 ms.
[memory ][Fri Jul 23 05:26:46 2021][18813] [YC#101] 7666.364-7666.396: YC 5176205KB->2412796KB (8388608KB), 0.032 s, sum of pauses 31.921 ms, longest pause 31.921 ms.
[memory ][Fri Jul 23 05:28:15 2021][18813] [YC#102] 7755.781-7755.808: YC 5199495KB->2437576KB (8388608KB), 0.027 s, sum of pauses 26.444 ms, longest pause 26.444 ms.
[memory ][Fri Jul 23 05:29:58 2021][18813] [YC#103] 7858.237-7858.264: YC 5235358KB->2470248KB (8388608KB), 0.027 s, sum of pauses 26.934 ms, longest pause 26.934 ms.
[memory ][Fri Jul 23 05:30:01 2021][18813] [OC#11] 7860.197-7861.630: OC 2578924KB->970025KB (8388608KB), 1.432 s, sum of pauses 1401.860 ms, longest pause 1401.860 ms.
[memory ][Fri Jul 23 05:30:05 2021][18813] [OC#12] 7861.630-7865.819: OC 1035135KB->954889KB (8388608KB), 4.189 s, sum of pauses 4163.397 ms, longest pause 4163.397 ms.
[memory ][Fri Jul 23 05:32:33 2021][18813] [YC#104] 8014.058-8014.087: YC 4688939KB->1923964KB (8388608KB), 0.029 s, sum of pauses 28.649 ms, longest pause 28.649 ms.
